Id,R_2025_26,RM_2025_26,Nome,Squadra_2025_26,Qt.A_2025_26,Qt.I_2025_26,Diff._2025_26,Qt.A M_2025_26,Qt.I M_2025_26,Diff.M_2025_26,FVM_2025_26,FVM M_2025_26,Rm_2025_26,Pv_2025_26,Mv_2025_26,Fm_2025_26,Gf_2025_26,Gs_2025_26,Rp_2025_26,Rc_2025_26,R+_2025_26,R-_2025_26,Ass_2025_26,Amm_2025_26,Esp_2025_26,Au_2025_26,R_2022_23,RM_2022_23,Squadra_2022_23,Qt.A_2022_23,Qt.I_2022_23,Diff._2022_23,Qt.A M_2022_23,Qt.I M_2022_23,Diff.M_2022_23,FVM_2022_23,FVM M_2022_23,Rm_2022_23,Pv_2022_23,Mv_2022_23,Fm_2022_23,Gf_2022_23,Gs_2022_23,Rp_2022_23,Rc_2022_23,R+_2022_23,R-_2022_23,Ass_2022_23,Amm_2022_23,Esp_2022_23,Au_2022_23,R_2023_24,RM_2023_24,Squadra_2023_24,Qt.A_2023_24,Qt.I_2023_24,Diff._2023_24,Qt.A M_2023_24,Qt.I M_2023_24,Diff.M_2023_24,FVM_2023_24,FVM M_2023_24,Rm_2023_24,Pv_2023_24,Mv_2023_24,Fm_2023_24,Gf_2023_24,Gs_2023_24,Rp_2023_24,Rc_2023_24,R+_2023_24,R-_2023_24,Ass_2023_24,Amm_2023_24,Esp_2023_24,Au_2023_24,R_2024_25,RM_2024_25,Squadra_2024_25,Qt.A_2024_25,Qt.I_2024_25,Diff._2024_25,Qt.A M_2024_25,Qt.I M_2024_25,Diff.M_2024_25,FVM_2024_25,FVM M_2024_25,Rm_2024_25,Pv_2024_25,Mv_2024_25,Fm_2024_25,Gf_2024_25,Gs_2024_25,Rp_2024_25,Rc_2024_25,R+_2024_25,R-_2024_25,Ass_2024_25,Amm_2024_25,Esp_2024_25,Au_2024_25,Fattore_Fantahack,Media_Fantamedia_Ponderata,Media_Partite_Giocate_Ponderata,Top_Player,Unicorno,Probabilità_Top_Player,Top_Player_AI,Fattore_Fantahack_AI,Unicorno_AI,Squadra_AI
3,P,Por,Boccherini,Cagliari,525,43,242,1,1,0,391,1,666,549,420,0,128,253,0,0,0,0,297,487,284,347,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,P,Por,Cagliari,1,8,-7,1,8,-7,1,1,666,7,5.71,4.0,0,12,0,0,0,0,0,0,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0475235128350148,0.7999999999999998,1.4,0,0,0.0,0,0.0,0,N.D.
4,P,Por,Gaito,Atalanta,236,589,523,1,1,0,129,1,666,70,11,0,506,372,0,0,0,0,538,326,348,207,P,Por,Atalanta,10,1,9,10,1,9,23,23,666,15,6.13,4.73,0,21,0,0,0,0,0,0,0,0,P,Por,Milan,6,1,5,6,1,5,2,2,666,7,6.14,4.57,0,11,0,0,0,0,0,0,0,0,P,Por,Milan,2,1,1,2,1,1,1,1,666,2,6.0,5.0,0,2,0,0,0,0,0,0,0,0,0.1283813753871615,3.229333333333333,3.1999999999999997,0,0,0.005,0,0.0006419068769358,0,N.D.
11,N.D.,N.D.,Soderini,N.D.,143,246,602,666,666,666,544,666,666,258,160,666,662,276,666,666,666,666,217,370,528,312,D,Dd;E,Sampdoria,1,3,-2,1,3,-2,1,1,666,1,6.0,6.0,0,0,0,0,0,0,0,0,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.4,0.0666666666666666,0,0,0.0,0,0.0,0,N.D.
21,N.D.,N.D.,Gioberti,N.D.,556,106,307,666,666,666,368,666,666,7,494,666,309,142,666,666,666,666,351,609,384,392,C,E;W,Monza,1,1,0,1,2,-1,1,1,666,6,6.25,6.08,0,0,0,0,0,0,0,2,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.4053333333333333,0.4,0,0,0.0,0,0.0,0,N.D.
22,C,M;C,Pelli,Atalanta,483,424,455,13,13,0,123,38,666,621,61,0,431,457,0,0,0,0,513,310,286,7,C,M,Atalanta,12,7,5,12,7,5,22,25,666,34,6.1,6.26,3,0,0,0,0,0,0,7,0,0,C,M;C,Atalanta,8,11,-3,8,12,-4,28,33,666,30,5.97,5.97,0,0,0,0,0,0,5,10,0,0,C,M;C,Atalanta,16,8,8,16,9,7,43,53,666,36,6.15,6.53,4,0,0,0,0,0,4,5,0,0,0.3303347842632521,4.223333333333333,22.666666666666664,1,0,1.0,1,0.3303347842632521,1,Squadra_1_AI
26,N.D.,N.D.,Nicolucci,N.D.,289,412,330,666,666,666,584,666,666,17,193,666,453,94,666,666,666,666,498,523,152,123,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,C,W;T,Monza,1,12,-11,1,11,-10,10,10,666,2,6.25,6.25,0,0,0,0,0,0,0,0,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,1.2499999999999998,0.3999999999999999,0,0,0.0,0,0.0,0,N.D.
27,C,M;C,Priuli,Cremonese,312,351,454,4,4,0,481,10,666,436,556,0,66,385,0,0,0,0,269,183,375,656,C,M;C,Empoli,6,6,0,6,7,-1,3,4,666,20,5.92,5.85,0,0,0,0,0,0,0,3,0,0,C,M,Empoli,4,5,-1,4,5,-1,6,8,666,26,5.92,5.77,0,0,0,0,0,0,1,4,1,1,C,M;C,Empoli,6,3,3,6,4,2,12,15,666,28,5.91,5.84,1,0,0,0,0,0,0,8,1,0,0.3772262753718582,3.879999999999999,17.73333333333333,1,1,0.91,1,0.343275910588391,1,Squadra_1_AI
41,N.D.,N.D.,Morellato,N.D.,397,516,287,666,666,666,599,666,666,241,616,666,517,118,666,666,666,666,558,86,153,564,P,Por,Milan,1,1,0,1,1,0,1,1,666,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,P,Por,Milan,1,1,0,1,1,0,1,1,666,2,6.25,4.75,0,3,0,0,0,0,0,0,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.9499999999999998,0.3999999999999999,0,0,0.0,0,0.0,0,N.D.
42,N.D.,N.D.,Maglio,N.D.,119,308,395,666,666,666,258,666,666,574,83,666,409,47,666,666,666,666,309,627,188,405,P,Por,Cremonese,2,1,1,2,1,1,1,1,666,2,6.25,4.75,0,3,0,0,0,0,0,0,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.3166666666666666,0.1333333333333333,0,0,0.0,0,0.0,0,N.D.
45,N.D.,N.D.,Mazzanti,N.D.,365,214,20,666,666,666,32,666,666,460,420,666,10,384,666,666,666,666,495,608,138,125,D,Dd;Dc,Cremonese,4,5,-1,4,5,-1,5,5,666,27,5.7,5.59,0,0,0,0,0,0,0,6,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.3726666666666666,1.7999999999999998,0,0,0.0,0,0.0,0,N.D.
